Title,Organization,Created,Modified,Formats,Tags
Protected Lands Access Restrictions,BC Parks,2018-08-30T23:08:40.272325,2026-08-29T00:00:34.231142,"['multiple', 'wms', 'kml', 'arcgis_rest']","['Access Restrictions', 'BC Parks', 'BC Parks Closures', 'British Columbia Parks', 'Closures', 'Conservancy', 'Ecological Reserves', 'Park Closures', 'Protected Area', 'Recreation Areas', 'bans', 'campfires', 'parks', 'prohibited', 'restrictions']"
BC Wildfire Fire Perimeters - Current,BC Wildfire Service,2014-12-10T23:47:08.540038,2026-08-29T00:00:33.781083,"['multiple', 'arcgis_rest', 'shp', 'wms', 'kml', 'oracle_sde']","['area burned', 'emergency management', 'fire perimeter', 'fire polygon', 'forest fire perimeter', 'wildfire']"
Evacuation Orders and Alerts,GeoBC Branch,2018-03-22T20:16:55.157308,2026-08-29T00:00:33.185641,"['wms', 'kml', 'multiple', 'arcgis_rest']","['Alerts', 'Emergency', 'Emergency Management', 'Emergency Response', 'Orders']"
"Recreation Sites, Reserves, and Interpretive Forests Details and Closures - Fully Attributed",Recreation Sites and Trails BC,2018-06-06T22:46:39.238937,2026-08-29T00:00:32.760472,['multiple'],"['FTA', 'Interpretive Forests', 'Recreation Reserve', 'Recreation Sites', 'forest', 'forest tenure', 'rec closure', 'recreation']"
Pharmacies in BC,HealthLinkBC,2014-12-11T00:02:42.250842,2026-08-29T00:00:32.357248,"['txt', 'csv', 'pdf', 'multiple', 'wms', 'kml']","['HealthLink', 'HealthLink BC', 'HealthLinkBC', 'after hours', 'after-hours', 'after-hours pharmacy', 'afterhours', 'dispensary', 'drug', 'medication', 'pharm', 'pharmacies', 'pharmacy']"
"Recreation Sites, Reserves, and Interpretive Forests Details and Closures",Recreation Sites and Trails BC,2018-08-02T00:33:40.265046,2026-08-29T00:00:31.918159,"['wms', 'kml', 'multiple']","['FTA', 'Interpretive Forests', 'Recreation Sites', 'forest', 'forest tenure', 'rec closure', 'recreation']"
State of Local Emergency and Band Council Resolutions,GeoBC Branch,2018-03-22T21:02:48.784152,2026-08-29T00:00:30.492889,"['multiple', 'wms', 'kml']","['BCR', 'Band Council Resolution', 'SOLE', 'State of Local Emergency Boundary', 'emergency planning', 'emergency response']"
BC Wildfire Danger Rating,BC Wildfire Service,2020-01-09T19:13:35.340512,2026-08-29T00:00:30.082342,"['arcgis_rest', 'html', 'multiple', 'wms', 'kml']","['AGO', 'AGOL', 'ArcGIS Online', 'Prescribed Fire', 'Wildfire']"
Protected Lands Access Restrictions - Points,BC Parks,2019-05-15T20:38:24.520898,2026-08-29T00:00:29.686679,"['multiple', 'wms', 'kml', 'arcgis_rest']","['BC Parks', 'BC Parks Closures', 'British Columbia Parks', 'Closures', 'Conservancy', 'Ecological Reserves', 'Park Closures', 'Parks', 'Protected Area', 'Recreation Areas', 'access restrictions', 'bans', 'campfires', 'prohibited', 'restrictions']"
Notice of Work (NoW) - Permitted Mine Areas - Regional Mine - Public,Regional Operations ,2022-05-12T17:59:01.864621,2026-08-29T00:00:29.205612,"['multiple', 'wms', 'kml']","['EMLI', 'MPSD', 'Notice of Work', 'permitted mine area']"
